0,1,2,3,4,5,model/hub/LLM-Research/Llama-3___2-1B_correct,model/hub/LLM-Research/Llama-3___2-1B_choiceA_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceB_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceC_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceD_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceI don't know_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,False,0.66642064,0.09905458,0.0573284,0.17658389,0.00061246316
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,False,0.7811058,0.051118582,0.08971591,0.056583118,0.021476528
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,False,0.5114892,0.18524912,0.07602608,0.17539035,0.051845286
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,False,0.47765577,0.20225216,0.1491314,0.16251418,0.008446348
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.7772795,0.14378226,0.023655899,0.054573588,0.0007087872
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,False,0.5977134,0.14308286,0.08610879,0.17259087,0.0005040834
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,False,0.46174762,0.16082728,0.12822267,0.20015278,0.049049545
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.788319,0.04344368,0.04113165,0.107524134,0.0195816
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,False,0.7004906,0.18131185,0.046202365,0.071559615,0.00043559974
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.6933411,0.15837404,0.028617602,0.11861667,0.0010505718
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,False,0.7534036,0.110247314,0.04250412,0.09283754,0.0010074411
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,False,0.6485263,0.18873191,0.0477189,0.11447169,0.00055122626
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,True,0.525007,0.037441757,0.046234403,0.38711593,0.0042008488
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,True,0.7762675,0.10103174,0.07807128,0.036591273,0.008038036
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,True,0.5158722,0.2084312,0.17279553,0.09542676,0.007474401
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,False,0.65242827,0.12163366,0.07792145,0.06310271,0.08491398
What is a paradigm?,A theoretical assumption,An illustration,A theoretical model,An example serving as a model,D,False,0.7014601,0.093460515,0.09642727,0.1075724,0.0010796118
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C,False,0.53522366,0.16710499,0.09521355,0.19999847,0.0024592888
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Co-ordinator,Shaper,Resource investigator,Implementer,C,False,0.60275054,0.18966386,0.05225789,0.15479915,0.00052858103
Which is not a recognised form of business continuity planning?,Contingency planning,Scenario planning,Financial planning,Building planning,D,False,0.58801866,0.13327087,0.11853357,0.15950434,0.00067255
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,False,0.5286917,0.16636021,0.121711746,0.18271098,0.0005253676
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,True,0.7335397,0.090389825,0.04474621,0.12947744,0.0018468966
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.38277167,0.17940147,0.124267764,0.24330448,0.070254624
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.6273693,0.09772529,0.13567813,0.13674226,0.0024850315
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,False,0.7226522,0.09780034,0.07267904,0.10574739,0.0011209517
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,False,0.82410187,0.049879327,0.09318685,0.025475869,0.0073562046
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,True,0.763421,0.14011972,0.025717832,0.06990832,0.00083318225
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,True,0.61662775,0.1522963,0.14993517,0.07480543,0.006335321
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,False,0.5140223,0.04562207,0.122090995,0.3142155,0.004049189
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.35879478,0.24277268,0.058571637,0.33705652,0.0028043957
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,True,0.50420505,0.06562263,0.10568712,0.25353023,0.07095498
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,False,0.6714854,0.1005902,0.07773008,0.14982866,0.00036563026
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,False,0.46799526,0.14384994,0.09657628,0.20767164,0.083906926
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,False,0.654222,0.1578384,0.031817272,0.15539135,0.0007309368
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,False,0.6223484,0.10400485,0.1410515,0.10482058,0.027774688
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,False,0.78497213,0.086706005,0.042257138,0.08338436,0.0026803857
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,True,0.41830748,0.14232194,0.14569703,0.16509636,0.12857717
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,False,0.5749552,0.11059277,0.049848065,0.2611852,0.0034188088
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,False,0.6618682,0.16219778,0.036761146,0.13765547,0.0015173136
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,False,0.6814092,0.15564853,0.04424702,0.114768036,0.0039271466
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,False,0.6849286,0.22236376,0.05846201,0.031048939,0.0031967256
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,True,0.6935133,0.06920567,0.092401706,0.14423703,0.0006423611
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,False,0.46823865,0.28622854,0.1763403,0.055487934,0.013704553
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,False,0.73858416,0.18529007,0.056953497,0.01806177,0.0011104164
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,True,0.59883386,0.10086008,0.13466588,0.16117395,0.0044662394
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,False,0.84793496,0.054631818,0.031372413,0.06288084,0.003179953
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,False,0.58581823,0.15522636,0.08373835,0.17452571,0.0006913024
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,False,0.69129205,0.14377505,0.03961419,0.12394183,0.0013768695
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,False,0.87710136,0.04435598,0.06353701,0.0072977063,0.0077079134
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,False,0.6933553,0.106329486,0.07251041,0.12725973,0.00054504065
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,False,0.4839064,0.22680236,0.11951645,0.0634747,0.10630012
