0,1,2,3,4,5,model/hub/LLM-Research/Llama-3___2-1B_correct,model/hub/LLM-Research/Llama-3___2-1B_choiceA_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceB_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceC_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceD_probs,model/hub/LLM-Research/Llama-3___2-1B_choiceI don't know_probs
How many human polyomaviruses are known at present?,100,1,10,unknown,A,True,0.62817407,0.047317483,0.0836961,0.2329048,0.007907544
AIDS activism in the U.S. resulted in:,Food and Drug Administration reforms,Easier access to investigational drugs,Changes in the way medicine was practiced in the U.S.,All of the above,D,False,0.6839155,0.1826409,0.11519016,0.009909158,0.008344348
"Globally, the most deaths are caused by:",Respiratory infections,Diarrheal diseases,Malaria,Tuberculosis,B,False,0.6206296,0.10371761,0.07588143,0.19836514,0.0014061996
What happens during the 'incubation period'?,The virus is cleared from the body by the immune system,Virus replication happens at an intracellular level,This period commonly lasts for a few days,This period commonly lasts for a few hours,B,False,0.66163945,0.12927066,0.09681925,0.109710574,0.0025600665
Newborn infants in countries with limited access to safe water and low levels of education should be:,Exclusively formula fed for six months,Exclusively breast fed for six months,Should receive both breast milk and other foods as tolerated in the first 6,months,B,False,0.5677183,0.2945284,0.035730347,0.09788691,0.004136088
Achieving effective change in a community is usually dependent on which of the following segments of society?,Innovators,Early adapters,Middle adapters,Late adapters,A,True,0.40450752,0.20660222,0.16471766,0.22165184,0.0025207219
“Contingency management” is”:,A strategy of last resort for reducing high-risk behaviors,Paying drug users for negative urine specimens,Paying sex workers to use condoms,Paying drug users to use condoms,B,False,0.44430152,0.23230843,0.21317819,0.10308624,0.007125579
Typical clinical symptoms following infection with astroviruses include which of the following?,Acute pneumonia,Gastroenteritis in children,Hepatitis,rashes,B,False,0.8463126,0.07995898,0.03718438,0.032306347,0.004237671
Which of the following is the most special characteristic of the adaptive immune system?,Antibodies,T cells,Memory T cells,Clonal expansion of pre-existing antibodies and/or T cells,D,False,0.7069908,0.14704007,0.09129925,0.04590815,0.0087617235
Chemotherapy is now an option for clinical care of patients. Typical drug regimens now include which of the following?,Interferon and ribavirin,Lamivudine and ribavirin,Combinations of adefovir and entecavir and/or tenofovir (DAA),Interferons alone,B,False,0.78627187,0.09764761,0.08821726,0.020953435,0.0069097094
"There were no new cases of Ebola virus in the United States from January 1, 1997 through January 1, 1998. Which of the following epidemiologic terms does this statement describe?",Incidence,Lifetime expectancy,Lifetime prevalence,Period prevalence,C,False,0.45445636,0.06445562,0.14078401,0.33509514,0.0052088127
How were retroviruses discovered?,In chickens as Rous sarcoma,In humans as HTLV-1,In mice causing leukaemia,In cats causing leukaemia,C,False,0.67808014,0.10000328,0.10812933,0.112436704,0.0013505549
Most surveillance systems use which of the following study designs?,Cohort,Serial cross-sectional,Mortality,Syndromic,B,False,0.55090064,0.11368477,0.11821346,0.20585653,0.011344601
Polio can be eradicated by which of the following?,Attention to sewage control and hygiene,Killed polio vaccine,Live polio vaccine,Combination of the killed and live vaccines.,A,True,0.37257826,0.1627674,0.24055462,0.08378547,0.14031427
Public health ethics is:,Patient-centered,Population-centered,Subject-centered,Must respect the rights of individuals,B,False,0.7398802,0.09480297,0.05750091,0.08564735,0.022168575
How many people globally are currently infected with hepatitis B?,350 million,2 billion,"100,000",1 million,A,True,0.44638985,0.1629397,0.13614123,0.24845336,0.006075824
